Area(SQM),Bedroom,Bathroom,Location,Price,Negotiable,Balcony,Electricity,Water,Gas,Landline,Elevator,Security,Built_in_Kitchen,Maids_Room,Private_Garden,Parking,Central(A/C)& heating,Pool,Type,Level,Furnished,Compound,Delivery_Date,Delivery_Term,meter_price
125,3,2,Shatby,2200000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,10,0.0,Not_In_Compound,Ready,Finished,17600.0
120,4,1,Sidi Beshr,500000,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,4166.666666666667
165,3,2,Sidi Beshr,1500000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,9090.90909090909
155,3,2,Cleopatra,1650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,10645.161290322581
210,3,2,Smoha,2950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,6,0.0,Not_In_Compound,Ready,Finished,14047.619047619048
80,2,1,Miami,550000,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,soon,Finished,6875.0
150,3,2,Al Hadrah,1100000,1,1,1,0,1,1,1,1,1,0,0,1,1,0,Apartment,1,0.0,Not_In_Compound,Ready,Finished,7333.333333333333
160,3,2,Glim,2000080,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Finished,12500.5
123,2,2,Smoha,2700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,1,0.0,Not_In_Compound,2023,Finished,21951.219512195123
65,2,1,Sidi Beshr,400000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,6,0.0,Not_In_Compound,Ready,Finished,6153.846153846154
135,3,2,Smoha,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,6,0.0,Murooj,2025,Finished,17777.777777777777
115,2,2,Smoha,2050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,5,0.0,Murooj,2025,Finished,17826.08695652174
120,2,2,Nakheel,340000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,3,0.0,Nakheel,Ready,Finished,2833.3333333333335
110,2,1,Nakheel,290000,1,1,1,1,0,1,1,1,0,1,0,0,0,0,Apartment,2,0.0,Not_In_Compound,Ready,Finished,2636.3636363636365
110,2,1,Miami,850000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Apartment,2,0.0,Not_In_Compound,Ready,Finished,7727.272727272727
220,4,2,Nakheel,380000,1,1,1,1,0,1,1,1,0,1,1,0,0,0,Duplex,5,0.0,Not_In_Compound,Ready,Finished,1727.2727272727273
100,2,1,Nakheel,270000,1,1,1,1,0,1,1,1,1,1,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,2700.0
191,3,2,Smoha,3800000,1,1,0,0,1,1,1,1,0,0,0,1,0,1,Apartment,8,0.0,Not_In_Compound,Ready,Not Finished,19895.287958115183
110,2,1,Nakheel,650000,0,1,1,1,0,1,1,1,0,0,1,1,1,1,Apartment,8,0.0,Not_In_Compound,Ready,Finished,5909.090909090909
220,2,1,Nakheel,340000,1,1,1,1,1,1,1,1,0,1,0,0,0,1,Duplex,5,0.0,Not_In_Compound,Ready,Finished,1545.4545454545455
120,2,1,Agami,400000,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,9,0.0,Not_In_Compound,Ready,Finished,3333.3333333333335
75,2,1,Sidi Beshr,330000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,Ready,Not Finished,4400.0
90,2,1,Nakheel,265000,1,1,1,1,0,0,1,1,0,1,0,0,0,0,Apartment,3,0.0,Not_In_Compound,Ready,Finished,2944.4444444444443
85,3,1,Mandara,420000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,7,0.0,Not_In_Compound,Ready,Finished,4941.176470588235
135,3,1,Sidi Beshr,1500000,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,soon,Semi Finished,11111.111111111111
160,3,2,Sporting,2750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10+,0.0,Not_In_Compound,Ready,Finished,17187.5
120,3,2,Borg al-Arab,830000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,4,0.0,Not_In_Compound,Ready,Semi Finished,6916.666666666667
